Breed,Accuracy
Afghan_hound,1.0
African_hunting_dog,1.0
Blenheim_spaniel,1.0
Border_terrier,1.0
English_springer,1.0
Leonberg,1.0
Mexican_hairless,1.0
Old_English_sheepdog,1.0
Saint_Bernard,1.0
Scotch_terrier,1.0
Sealyham_terrier,1.0
Weimaraner,1.0
dhole,1.0
kelpie,1.0
Pomeranian,0.9565217391304348
basenji,0.9545454545454546
Ibizan_hound,0.95
Norwegian_elkhound,0.95
chow,0.95
pug,0.95
Boston_bull,0.9473684210526315
Dandie_Dinmont,0.9473684210526315
Kerry_blue_terrier,0.9473684210526315
Chesapeake_Bay_retriever,0.9444444444444444
Irish_terrier,0.9444444444444444
West_Highland_white_terrier,0.9444444444444444
basset,0.9444444444444444
bluetick,0.9444444444444444
black-and-tan_coonhound,0.9411764705882353
keeshond,0.9411764705882353
komondor,0.9411764705882353
schipperke,0.9411764705882353
Brabancon_griffon,0.9375
Great_Dane,0.9375
Irish_setter,0.9375
Pekinese,0.9375
Rottweiler,0.9375
Tibetan_mastiff,0.9375
borzoi,0.9375
boxer,0.9375
curly-coated_retriever,0.9375
otterhound,0.9375
redbone,0.9375
Doberman,0.9333333333333333
clumber,0.9333333333333333
groenendael,0.9333333333333333
malinois,0.9333333333333333
Bernese_mountain_dog,0.9130434782608695
Irish_wolfhound,0.9130434782608695
Samoyed,0.9130434782608695
Great_Pyrenees,0.9090909090909091
Airedale,0.9047619047619048
Newfoundland,0.9
beagle,0.9
miniature_pinscher,0.9
papillon,0.9
whippet,0.9
Bedlington_terrier,0.8947368421052632
Italian_greyhound,0.8947368421052632
Japanese_spaniel,0.8947368421052632
Pembroke,0.8947368421052632
Greater_Swiss_Mountain_dog,0.8888888888888888
Rhodesian_ridgeback,0.8888888888888888
Maltese_dog,0.8846153846153846
French_bulldog,0.8823529411764706
miniature_schnauzer,0.8823529411764706
wire-haired_fox_terrier,0.8823529411764706
Brittany_spaniel,0.875
German_short-haired_pointer,0.875
Bouvier_des_Flandres,0.8666666666666667
golden_retriever,0.8666666666666667
EntleBucher,0.8571428571428571
cairn,0.8571428571428571
Saluki,0.85
bloodhound,0.85
Scottish_deerhound,0.8333333333333334
Yorkshire_terrier,0.8333333333333334
Shetland_sheepdog,0.8235294117647058
cocker_spaniel,0.8235294117647058
German_shepherd,0.8125
Sussex_spaniel,0.8125
briard,0.8125
bull_mastiff,0.8125
dingo,0.8125
soft-coated_wheaten_terrier,0.8125
toy_poodle,0.8125
Tibetan_terrier,0.8095238095238095
Irish_water_spaniel,0.8
Welsh_springer_spaniel,0.8
affenpinscher,0.8
kuvasz,0.8
Norwich_terrier,0.7894736842105263
silky_terrier,0.7894736842105263
toy_terrier,0.7777777777777778
English_setter,0.7647058823529411
standard_poodle,0.7647058823529411
vizsla,0.7647058823529411
Australian_terrier,0.75
Cardigan,0.75
malamute,0.7368421052631579
Norfolk_terrier,0.7222222222222222
Lakeland_terrier,0.7142857142857143
Shih-Tzu,0.6956521739130435
Chihuahua,0.6875
Gordon_setter,0.6875
collie,0.6875
flat-coated_retriever,0.6875
Lhasa,0.6842105263157895
American_Staffordshire_terrier,0.6666666666666666
Labrador_retriever,0.6666666666666666
English_foxhound,0.6470588235294118
giant_schnauzer,0.6470588235294118
Siberian_husky,0.6
Staffordshire_bullterrier,0.5625
miniature_poodle,0.5625
standard_schnauzer,0.5625
Border_collie,0.5333333333333333
Eskimo_dog,0.5333333333333333
Appenzeller,0.4375
Walker_hound,0.375
